df1.product,df1.route,df1.tons,df1.usd
2,1,32997.491,85271
2,1,14660.565,67679
2,1,10860,63100
2,1,2788.3,42800
2,1,11000,65071
2,1,19675,73190
2,1,11061.735,66407
2,1,33.875,6554
2,1,16,5771
2,1,158.76,16817
2,1,17000,73187
2,1,9167,63215
2,1,18333,76865
2,1,4,1437
2,1,25000,80629
2,1,23100,79687
2,1,40000,84642
2,1,201.84,18838
2,1,109160.308,96219
2,1,12500,68125
2,1,16.5,3936
2,1,8100,58761
2,1,36300,85006
2,1,6000,54822
2,2,4000,47396
2,1,2395.355,39658
2,1,6000,52777
2,1,33329.119,84910
2,1,9227.468,61816
2,1,2000,38759
2,1,409.435,18505
2,1,7200,57973
3,1,1777.502,45569
3,3,0.05,13
3,1,5500,63858
3,1,14400,81218
3,1,3282,55109
3,1,500,28490
3,1,35329.481,93085
3,1,500,29658
3,1,180,18515
3,1,3000,53022
3,1,9820,75843
3,1,22144,87648
3,4,302.844,27881
3,1,500,27818
3,1,500,28214
3,1,24500,88992
3,1,2000,46621
3,1,4000,57829
3,1,2000,46399
3,1,3000,53022
3,1,19500,85817
3,1,9500.001,76259
3,1,284.341,26380
3,1,500,30539
3,2,500,27661
3,1,0.715,111
3,2,2500,50368
4,1,600,24059
4,1,28882.795,84186
4,1,41190,88848
4,1,968.44,29781
4,1,2674,42707
4,1,19658.41,77897
4,1,7872.555,59379
4,2,2416.39,39386
4,1,20000,75069
4,1,4000,47693
4,1,11550,66686
4,1,251,16126
4,1,13426,70871
4,1,53600,91605
4,1,62049,92812
4,1,11000,65130
4,1,8338.68,62169
4,1,16940,72927
4,5,8400.27,56849
4,1,5902,56048
4,1,500,28141
4,1,655,25230
4,1,1128.1,31698
4,1,8800,61090
4,1,76.5,8339
4,1,19701.54,76367
4,1,3000,45249
4,1,37200,86847
4,1,33173.7,85282
4,1,9450,63660
4,1,67898.784,93994
4,1,531851.557,98990
4,2,5500,52293
4,2,14500,66683
4,2,66500,92358
4,1,31138.355,85294
4,1,63466,93154
4,1,641.39,24534
4,1,5747.87,54253
4,1,6920.41,58143
4,1,14500,71436
4,1,40000,88937
4,1,2000,36324
4,1,78765,95276
4,1,1000,30108
4,2,1000,27817
4,2,9000,58501
4,2,67500,91807
4,1,75112.99,94466
4,1,57671,91396
4,1,23000,79062
4,1,14000,69981
4,1,30521.83,83960
4,1,97979.358,95854
4,2,3000,42705
4,1,1000,29249
4,1,13073.985,69164
5,3,0.001,20
5,1,14000,70631
5,1,19500,76998
5,1,11886,67981
5,3,0.002,31
5,1,1500,35026
5,1,2114,39617
5,1,0.05,93
5,1,19859,77410
5,4,0.094,142
5,1,129,12402
5,2,20.7,3971
5,1,105,10246
5,3,0.03,19
5,1,12000,67766
5,1,14000,71178
5,1,172,13213
5,1,0.168,50
5,2,1154,30021
5,1,5000,52959
1,1,63,10608
1,1,13869,55372
1,1,63,10034
1,2,26,5186
1,2,27,5753
1,1,259.541,9649
1,1,1105,23816
1,2,777,33713
1,4,0.5,549
1,2,11104.56,44307
1,1,48.413,19238
1,2,1848,53092
1,2,5788.55,35212
1,2,1663.85,44385
1,3,1.6,3858
1,3,0.15,327
1,1,107.5,12627
1,1,366.536,18974
1,3,5.26,5177
2,1,20867.993,77187
2,1,19622.57,72409
2,1,10000,62309
2,1,22057.902,78144
2,1,32131.69,82391
2,1,14310.16,67471
2,1,4200,46273
2,1,8608.03,59020
2,1,1055.63,30324
2,1,13660,69979
2,1,23147.355,79303
2,1,38859.05,85555
2,1,500,21518
2,1,13900,69672
2,1,1000,29878
2,1,5962.922,55682
2,1,10575,62195
2,1,22750,77786
2,1,5523.476,51099
2,1,5947,55102
2,1,16538.87,69369
2,1,25264.6,77548
2,1,4000,46176
2,1,4725,50215
2,1,3423,46097
2,1,390.568,20341
2,1,22055,78079
2,1,10000,64579
2,1,5576,52204
2,1,23000,77990
2,1,367.195,19052
2,1,30000,85213
2,1,25500,77558
2,1,9732.14,62194
2,1,21000,78959
2,1,11000,61776
2,1,274154.62,98598
2,1,8000,59865
2,2,7121.8,56575
2,1,12000,67686
2,1,13600.99,68364
2,1,25825,80285
2,1,23405,77914
2,1,1893.09,38615
2,1,2000,38655
2,1,193520,98182
2,1,9500,63439
2,1,38.46,7538
2,1,18000,74922
2,1,39608.875,85946
2,1,14800,71314
2,1,5.25,3265
2,1,4000,48319
2,1,26821.515,79143
2,1,20.46,4796
2,1,38000,87602
2,1,132,15758
2,1,8703,60844
2,1,13118.205,67730
2,1,5000,51142
2,2,7000,56255
2,1,4000,48013
2,1,200,14669
2,1,2500,38815
2,1,4668,48665
2,1,1000,29530
2,1,5000,52535
2,1,2000,37185
2,1,17577,70642
2,1,13000,68240
3,1,400,25544
3,1,11500,78386
3,1,60238,96604
3,1,2800,53569
3,1,3000,55142
3,1,500,28514
3,1,12928,79573
3,3,34.138,9546
3,4,128.381,18936
3,1,1500,42444
3,1,35031.696,92913
3,1,43.36,8761
3,1,22968.304,88314
3,1,5000,62351
3,2,500,27661
3,2,7100,68376
4,1,53883.76,92456
4,1,25764.816,82660
4,1,8605.26,63049
4,1,80,14260
4,1,2583.15,42106
4,1,65617.808,94098
4,1,166.253,13183
4,1,25058,82167
4,1,4774,52867
4,1,280,23498
4,1,13899.32,70416
4,1,2000,38894
4,1,2500,42905
4,5,2561.818,41684
4,1,7000,56700
4,5,10000,60663
4,5,17028.156,70754
4,1,6400,57854
4,1,36071.45,86777
4,1,2174,40833
4,1,107733.222,96653
4,1,5000,51382
4,1,1320,32333
4,1,20672,79057
4,1,1220.55,32966
4,1,12500,69296
4,1,11300,66784
4,1,20805.31,77609
4,1,3000,43861
4,1,12000,67369
4,1,36829.577,87589
4,1,15971.916,73183
4,1,25098,81979
4,1,458436.45,98950
4,2,7000,57087
4,2,22999.502,77265
4,1,965,30250
4,1,4898,52875
4,1,15000,71487
4,1,69529.843,93799
4,1,7500,59386
4,1,42970.694,89035
4,1,3302.88,46347
4,1,9415.95,62718
4,1,4450,50334
4,1,42,6747
4,1,52500,91894
4,1,1000,30630
4,1,27725,83589
4,1,2500,42403
4,1,25400,82339
4,1,25000,82102
4,1,1000,29977
4,1,12000,69000
4,1,4000,48120
4,1,67000,93770
4,1,11000,65560
4,1,55250,92411
4,1,5001.9,53149
4,1,2000,38617
4,2,4000,46648
4,2,4000,47456
4,2,12000,65847
4,1,25,5151
4,1,23550,79676
4,1,3568,48237
4,1,38919.12,88541
4,1,31400,84424
4,1,4608.57,50717
4,1,22399.565,78830
4,1,51773.41,89822
5,1,8000,61304
5,1,0.02,116
5,1,4000,49310
5,1,6141,56442
5,2,3.465,2999
5,3,0.002,33
5,1,26.3,4456
5,4,0.416,611
5,1,1060,30997
5,1,14000,71402
